Ferret,Virus,inoc_dose,units,expt,lethal,lethal_day,NW_typical,RD_trans,HPAI,HPAI_MBAA,HA,NA,Origin,wt_loss,wt_loss_day,temp,temp_day,temp_5,temp_5_day,d1_inoc,d2_inoc,d3_inoc,d4_inoc,d5_inoc,d6_inoc,d7_inoc,d8_inoc,d9_inoc
F1,A/Turkey/VA/4529/2002,7,EID,path,false,0,true,NA,false,false,H7,N2,avian,6.7,7,0.5,4,0.5,4,6.5,,4.5,,4.75,,1.75,,1.5
F2,A/Turkey/VA/4529/2002,7,EID,path,false,0,true,NA,false,false,H7,N2,avian,11.8,4,0.9,7,0.7,2,5.5,,6.5,,4.75,,1.5,,1.5
F3,A/Turkey/VA/4529/2002,7,EID,path,false,0,true,NA,false,false,H7,N2,avian,15.4,6,2,8,1.8,2,6.25,,5.5,,5.75,,1.5,,1.5
F4,A/Turkey/VA/4529/2002,7,EID,DC,false,0,true,NA,false,false,H7,N2,avian,5.9,11,1,9,0.3,3,6.75,,6.75,,5.75,,3.25,,1.5
F5,A/Turkey/VA/4529/2002,7,EID,DC,false,0,true,NA,false,false,H7,N2,avian,7.9,5,1,3,1,3,6.25,,6.5,,4.75,,1.5,,1.5
F6,A/Turkey/VA/4529/2002,7,EID,DC,false,0,true,NA,false,false,H7,N2,avian,6.1,9,0.5,3,0.5,3,7.25,,6.75,,4.5,,1.5,,1.5
F7,A/Turkey/VA/4529/2002,7,EID,RD,false,0,true,no,false,false,H7,N2,avian,3.5,11,0.5,7,0.3,1,5.75,,5.75,,5.75,,1.5,,1.5
F8,A/Turkey/VA/4529/2002,7,EID,RD,false,0,true,no,false,false,H7,N2,avian,22.5,7,1.1,7,0.1,3,5.75,,5.5,,5.5,,2.25,,1.5
F9,A/Turkey/VA/4529/2002,7,EID,RD,false,0,true,no,false,false,H7,N2,avian,15,7,1.1,7,0.6,3,4.75,,3.75,,5.25,,1.5,,1.5
F10,A/Netherlands/219/2003,7,EID,path,false,0,true,NA,true,true,H7,N7,avian,14.9,8,1,1,1,1,6.5,,5.25,,6.5,,3.25,,1.5
F11,A/Netherlands/219/2003,7,EID,path,true,12,true,NA,true,true,H7,N7,avian,25.6,12,1,1,1,1,6.5,,5.75,,6.5,,4.75,,1.5
F12,A/Netherlands/219/2003,7,EID,path,true,8,true,NA,true,true,H7,N7,avian,23.6,8,1,1,1,1,6.75,,6.5,,5.5,,4.75,,
F13,A/Netherlands/219/2003,7,EID,DC,true,7,true,NA,true,true,H7,N7,avian,19.6,7,0.8,1,0.8,1,7.5,,6.25,,5.75,,,,
